,cost,name,damage,text,id
20,['C'],Aerial Ace,40+,"Flip a coin. If heads, this attack does 40 more damage.",68af6bbcd14a00763202576f
21,"['C', 'C', 'C', 'C']",Speed Wing,130,,68af6bbcd14a00763202576f
22,['C'],Peck,10,,68af6bbcd14a007632025772
23,"['C', 'C']",Glide,20,,68af6bbcd14a007632025772
24,['C'],Do the Wave,20+,This attack does 20 more damage for each of your Benched Pokémon.,68af6bbcd14a007632025775
25,['C'],Tail Slap,20x,Flip 2 coins. This attack does 20 damage for each heads.,68af6bbcd14a007632025778
26,['C'],Return,30,You may draw cards until you have 6 cards in your hand.,68af6bbcd14a00763202577b
27,"['C', 'C']",Swift Flight,120,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bbcd14a00763202577e
28,['C'],Fly,40,"Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bbcd14a007632025781
29,['M'],Cut Up,40,,68af6bbcd14a007632025784
30,"['M', 'C']",Finishing Blow,60+,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",68af6bbcd14a007632025784
31,['C'],Stampede,10,,68af6bbcd14a007632025787
32,"['C', 'C']",Cross-Cut,80+,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage.",68af6bbcd14a00763202578a
33,['C'],Bite,30,,68af6bbcd14a00763202578d
34,"['F', 'M']",Boundless Power,90,"During your next turn, this Pokémon can't attack.",68af6bbcd14a00763202578d
35,['M'],Righteous Edge,20,Discard a Special Energy from your opponent's Active Pokémon.,68af6bbcd14a007632025793
36,"['M', 'M', 'C']",Metal Arms,80+,"If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.",68af6bbcd14a007632025793
37,['M'],Corner,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",68af6bbcd14a007632025796
38,"['M', 'C', 'C']",Hammer In,120,,68af6bbcd14a007632025799
39,"['M', 'C']",Hard Gears,50,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).",68af6bbcd14a00763202579c
40,['M'],Hard Gears,10,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance).",68af6bbdd14a00763202579f
41,['M'],Wild Lances,90,This Pokémon also does 30 damage to itself.,68af6bbdd14a0076320257a2
42,"['D', 'C']",Tighten Up,60,Your opponent discards 2 cards from their hand.,68af6bbdd14a0076320257a5
43,"['D', 'C']",Tighten Up,40,Your opponent discards 2 cards from their hand.,68af6bbdd14a0076320257a8
44,"['D', 'D', 'C']",Cursed Slug,120+,"If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",68af6bbdd14a0076320257a8
45,['D'],Tighten Up,10,Your opponent discards a card from their hand.,68af6bbdd14a0076320257ab
46,"['D', 'C']",Venoshock,90+,"If your opponent's Active Pokémon is Poisoned, this attack does 90 more damage.",68af6bbdd14a0076320257ae
47,['C'],Venoshock,30+,"If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.",68af6bbdd14a0076320257b1
48,"['F', 'C', 'C']",Stone Edge,80+,"Flip a coin. If heads, this attack does 60 more damage.",68af6bbdd14a0076320257ba
49,"['F', 'C', 'C']",Earthquake,110,This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bbdd14a0076320257ba
50,['C'],Flail,10x,This attack does 10 damage for each damage counter on this Pokémon.,68af6bbdd14a0076320257bd
51,"['F', 'C']",Shoulder Throw,120-,This attack does 30 less damage for each Retreat Cost.,68af6bbdd14a0076320257c0
52,"['C', 'C']",Dig Claws,20,,68af6bbdd14a0076320257c0
53,"['F', 'C', 'C', 'C']",Swing Around,100+,Flip 2 coins. This attack does 50 more damage for each heads.,68af6bbdd14a0076320257c3
54,['F'],Low Kick,30,,68af6bbdd14a0076320257c6
55,['F'],Low Kick,10,,68af6bbdd14a0076320257c9
56,"['F', 'C', 'C']",Hammer Arm,60,Discard the top card of your opponent's deck.,68af6bbdd14a0076320257c9
57,['F'],Mud-Slap,10,,68af6bbdd14a0076320257cc
58,"['F', 'C', 'C']",Strength,50,,68af6bbdd14a0076320257cc
59,"['F', 'F']",Corkscrew Punch,30,,68af6bbdd14a0076320257cf
60,"['C', 'C']",Best Punch,60,"Flip a coin. If tails, this attack does nothing.",68af6bbdd14a0076320257d2
61,"['C', 'C', 'C']",Psychic,80+,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,68af6bbdd14a0076320257d5
62,"['C', 'C', 'C']",Beam,40,,68af6bbdd14a0076320257d8
63,['C'],Spray Fluid,30,,68af6bbdd14a0076320257db
64,['C'],Rollout,10,,68af6bbdd14a0076320257de
65,['P'],Sleep Pulse,50,Your opponent's Active Pokémon is now Asleep.,68af6bbdd14a0076320257e1
66,['P'],Mumble,10,,68af6bbed14a0076320257e4
67,['L'],Thunder Fang,60,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af6bbed14a0076320257e7
68,"['L', 'L', 'L', 'C']",Buzz Flip,100x,Flip 4 coins. This attack does 100 damage for each heads.,68af6bbed14a0076320257e7
69,"['L', 'L', 'C']",Electric Ball,50,,68af6bbed14a0076320257ea
70,['L'],Static Shock,20,,68af6bbed14a0076320257f0
71,['W'],Icicle,30,,68af6bbed14a0076320257f3
72,['C'],Continuous Headbutt,50x,Flip a coin until you get tails. This attack does 50 damage for each heads.,68af6bbed14a0076320257f6
73,"['W', 'W', 'W', 'C']",Sheer Cold,150,"During your opponent's next turn, the Defending Pokémon can't use attacks.",68af6bbed14a0076320257f6
74,['W'],Snotted Up,10,"During your opponent's next turn, the Defending Pokémon can't use attacks.",68af6bbed14a0076320257f9
75,"['W', 'C', 'C']",Waterfall,70,,68af6bbed14a0076320257fc
76,"['W', 'C', 'C']",Big Bite,150,"During your opponent's next turn, the Defending Pokémon can't retreat.",68af6bbed14a0076320257ff
77,['W'],Ancient Seaweed,30x,This attack does 30 damage for each Item card in your opponent's discard pile.,68af6bbed14a007632025802
78,"['W', 'C', 'C']",Surf,80,,68af6bbed14a007632025802
79,"['C', 'C', 'C']",Round,70x,This attack does 70 damage for each of your Pokémon in play that has the Round attack.,68af6bbed14a007632025805
80,"['W', 'C', 'C', 'C']",Hyper Voice,160,,68af6bbed14a007632025805
81,"['C', 'C']",Round,40x,This attack does 40 damage for each of your Pokémon in play that has the Round attack.,68af6bbed14a007632025808
82,"['W', 'C', 'C']",Wave Splash,60,,68af6bbed14a007632025808
83,"['C', 'C']",Round,20x,This attack does 20 damage for each of your Pokémon in play that has the Round attack.,68af6bbed14a00763202580b
84,"['C', 'C']",Gentle Slap,70,,68af6bbed14a00763202580e
85,"['C', 'C']",Scratch,30,,68af6bbed14a007632025811
86,"['R', 'C', 'C']",Fire Wing,70,,68af6bbed14a007632025814
87,['C'],Peck Off,10,"Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon.",68af6bbed14a007632025817
88,"['R', 'C']",Searing Flame,50,Your opponent's Active Pokémon is now Burned.,68af6bbed14a00763202581a
89,"['R', 'C', 'C', 'C']",Smashing Headbutt,180,Discard 2 Energy from this Pokémon.,68af6bbed14a00763202581a
90,"['R', 'C']",Will-O-Wisp,30,,68af6bbed14a00763202581d
91,['C'],Dangerous Reaction,30+,"If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",68af6bbed14a007632025820
92,"['G', 'C']",Seed Bomb,60,,68af6bbed14a007632025820
93,['C'],Horn Attack,10,,68af6bbed14a007632025826
94,['G'],Lively Needles,20+,"If this Pokémon was healed during this turn, this attack does 100 more damage.",68af6bbfd14a007632025829
95,"['G', 'C']",Pierce,50,,68af6bbfd14a007632025829
96,['G'],Bemusing Aroma,30,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned. If tails, your opponent's Active Pokémon is now Confused.",68af6bbfd14a00763202582c
97,"['G', 'C', 'C']",Cut,70,,68af6bbfd14a00763202582c
98,['G'],Leafage,10,,68af6bbfd14a00763202582f
99,"['C', 'C']",Gentle Slap,70,,68af6bbfd14a007632025832
100,"['C', 'C']",Scratch,30,,68af6bbfd14a007632025835
101,['G'],Wrap,20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",68af6bbfd14a007632025838
102,"['G', 'C', 'C']",Vine Whip,60,,68af6bbfd14a007632025838
103,['G'],Tackle,10,,68af6bbfd14a00763202583b
104,"['G', 'G']",Vine Whip,30,,68af6bbfd14a00763202583b
105,['C'],Aerial Ace,40+,"Flip a coin. If heads, this attack does 40 more damage.",68af6bc0d14a00763202586e
106,"['C', 'C', 'C', 'C']",Speed Wing,130,,68af6bc0d14a00763202586e
107,['C'],Aerial Ace,40+,"Flip a coin. If heads, this attack does 40 more damage.",68af6bc0d14a007632025874
108,"['C', 'C', 'C', 'C']",Speed Wing,130,,68af6bc0d14a007632025874
109,['C'],Aerial Ace,40+,"Flip a coin. If heads, this attack does 40 more damage.",68af6bc0d14a007632025871
110,"['C', 'C', 'C', 'C']",Speed Wing,130,,68af6bc0d14a007632025871
111,['C'],Peck,10,,68af6bc0d14a00763202587a
112,"['C', 'C']",Glide,20,,68af6bc0d14a00763202587a
113,['C'],Peck,10,,68af6bc0d14a007632025877
114,"['C', 'C']",Glide,20,,68af6bc0d14a007632025877
115,['C'],Peck,10,,68af6bc0d14a00763202587d
116,"['C', 'C']",Glide,20,,68af6bc0d14a00763202587d
117,['C'],Do the Wave,20+,This attack does 20 more damage for each of your Benched Pokémon.,68af6bc0d14a007632025880
118,['C'],Do the Wave,20+,This attack does 20 more damage for each of your Benched Pokémon.,68af6bc0d14a007632025886
119,['C'],Do the Wave,20+,This attack does 20 more damage for each of your Benched Pokémon.,68af6bc0d14a007632025883
120,['C'],Tail Slap,20x,Flip 2 coins. This attack does 20 damage for each heads.,68af6bc0d14a00763202588c
121,['C'],Tail Slap,20x,Flip 2 coins. This attack does 20 damage for each heads.,68af6bc0d14a007632025889
122,['C'],Tail Slap,20x,Flip 2 coins. This attack does 20 damage for each heads.,68af6bc0d14a00763202588f
123,['C'],Return,30,You may draw cards until you have 6 cards in your hand.,68af6bc0d14a007632025898
124,['C'],Return,30,You may draw cards until you have 6 cards in your hand.,68af6bc0d14a007632025892
125,['C'],Return,30,You may draw cards until you have 6 cards in your hand.,68af6bc0d14a007632025895
126,"['C', 'C']",Swift Flight,120,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a0076320258a1
127,"['C', 'C']",Swift Flight,120,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a00763202589e
128,"['C', 'C']",Swift Flight,120,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a00763202589b
129,['C'],Fly,40,"Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a0076320258a4
130,['C'],Fly,40,"Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a0076320258a7
131,['C'],Fly,40,"Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",68af6bc0d14a0076320258aa
132,['C'],Stampede,10,,68af6bc0d14a0076320258b0
133,['C'],Stampede,10,,68af6bc0d14a0076320258ad
134,['C'],Stampede,10,,68af6bc1d14a0076320258b3
135,"['C', 'C']",Cross-Cut,80+,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage.",68af6bc1d14a0076320258b9
136,"['C', 'C']",Cross-Cut,80+,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage.",68af6bc1d14a0076320258b6
137,"['C', 'C']",Cross-Cut,80+,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage.",68af6bc1d14a0076320258bc
138,['C'],Bite,30,,68af6bc1d14a0076320258c2
139,"['F', 'M']",Boundless Power,90,"During your next turn, this Pokémon can't attack.",68af6bc1d14a0076320258c2
140,['C'],Bite,30,,68af6bc1d14a0076320258c5
141,"['F', 'M']",Boundless Power,90,"During your next turn, this Pokémon can't attack.",68af6bc1d14a0076320258c5
142,['C'],Bite,30,,68af6bc1d14a0076320258bf
143,"['F', 'M']",Boundless Power,90,"During your next turn, this Pokémon can't attack.",68af6bc1d14a0076320258bf
144,"['M', 'M', 'C']",Protect Charge,150,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",68af6bc1d14a0076320258d1
145,['M'],Righteous Edge,20,Discard a Special Energy from your opponent's Active Pokémon.,68af6bc1d14a0076320258da
146,"['M', 'M', 'C']",Metal Arms,80+,"If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.",68af6bc1d14a0076320258da
147,['M'],Righteous Edge,20,Discard a Special Energy from your opponent's Active Pokémon.,68af6bc1d14a0076320258d4
148,"['M', 'M', 'C']",Metal Arms,80+,"If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.",68af6bc1d14a0076320258d4
149,['M'],Righteous Edge,20,Discard a Special Energy from your opponent's Active Pokémon.,68af6bc1d14a0076320258d7
150,"['M', 'M', 'C']",Metal Arms,80+,"If this Pokémon has a Pokémon Tool attached, this attack does 40 more damage.",68af6bc1d14a0076320258d7
151,['M'],Cut Up,40,,68af6bc1d14a0076320258e3
152,"['M', 'C']",Finishing Blow,60+,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",68af6bc1d14a0076320258e3
153,['M'],Cut Up,40,,68af6bc1d14a0076320258dd
154,"['M', 'C']",Finishing Blow,60+,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",68af6bc1d14a0076320258dd
155,['M'],Cut Up,40,,68af6bc1d14a0076320258e0
156,"['M', 'C']",Finishing Blow,60+,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.",68af6bc1d14a0076320258e0
157,['M'],Corner,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",68af6bc1d14a0076320258e6
158,['M'],Corner,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",68af6bc1d14a0076320258e9
159,['M'],Corner,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",68af6bc1d14a0076320258ec
160,"['M', 'C', 'C']",Hammer In,120,,68af6bc1d14a0076320258ef
161,"['M', 'C', 'C']",Hammer In,120,,68af6bc1d14a0076320258f2
162,"['2', 'M']",Hammer In,120,,68af6bc2d14a0076320258fb
163,"['M', 'C', 'C']",Hammer In,120,,68af6bc1d14a0076320258f5
164,"['2', 'M']",Hammer In,120,,68af6bc2d14a0076320258f8
165,"['M', 'C']",Hard Gears,50,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a0076320258fe
166,"['M', 'C']",Hard Gears,50,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a007632025904
167,"['M', 'C']",Hard Gears,50,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a007632025901
168,['M'],Hard Gears,10,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a00763202590d
169,['M'],Hard Gears,10,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a007632025907
170,['M'],Hard Gears,10,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks (after applying Weakness and Resistance).",68af6bc2d14a00763202590a
171,['M'],Wild Lances,90,This Pokémon also does 30 damage to itself.,68af6bc2d14a007632025910
172,['M'],Wild Lances,90,This Pokémon also does 30 damage to itself.,68af6bc2d14a007632025913
173,['M'],Wild Lances,90,This Pokémon also does 30 damage to itself.,68af6bc2d14a007632025916
174,"['D', 'C']",Tighten Up,60,Your opponent discards 2 cards from their hand.,68af6bc2d14a00763202591c
175,"['D', 'D', 'C']",Cursed Slug,120+,"If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",68af6bc2d14a00763202591c
176,"['D', 'C']",Tighten Up,60,Your opponent discards 2 cards from their hand.,68af6bc2d14a007632025919
177,"['D', 'D', 'C']",Cursed Slug,120+,"If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",68af6bc2d14a007632025919
178,"['D', 'C']",Tighten Up,60,Your opponent discards 2 cards from their hand.,68af6bc2d14a00763202591f
179,"['D', 'D', 'C']",Cursed Slug,120+,"If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",68af6bc2d14a00763202591f
180,"['D', 'C']",Tighten Up,40,Your opponent discards 2 cards from their hand.,68af6bc2d14a007632025922
181,"['D', 'C']",Tighten Up,40,Your opponent discards 2 cards from their hand.,68af6bc2d14a007632025928
182,"['D', 'C']",Tighten Up,40,Your opponent discards 2 cards from their hand.,68af6bc2d14a007632025925
183,['D'],Tighten Up,10,Your opponent discards a card from their hand.,68af6bc2d14a00763202592b
184,['D'],Tighten Up,10,Your opponent discards a card from their hand.,68af6bc2d14a00763202592e
185,['D'],Tighten Up,10,Your opponent discards a card from their hand.,68af6bc2d14a007632025931
186,"['D', 'C']",Venoshock,90+,"If your opponent's Active Pokémon is Poisoned, this attack does 90 more damage.",68af6bc2d14a007632025934
187,"['D', 'C']",Venoshock,90+,"If your opponent's Active Pokémon is Poisoned, this attack does 90 more damage.",68af6bc2d14a00763202593a
188,"['D', 'C']",Venoshock,90+,"If your opponent's Active Pokémon is Poisoned, this attack does 90 more damage.",68af6bc2d14a007632025937
189,['C'],Venoshock,30+,"If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.",68af6bc2d14a007632025940
190,['C'],Venoshock,30+,"If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.",68af6bc3d14a007632025943
191,['C'],Venoshock,30+,"If your opponent's Active Pokémon is Poisoned, this attack does 60 more damage.",68af6bc2d14a00763202593d
192,"['F', 'C', 'C']",Earthquake,110,This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bc3d14a00763202594f
193,"['F', 'C', 'C']",Earthquake,110,This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bc3d14a007632025952
194,"['F', 'C', 'C']",Earthquake,110,This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bc3d14a007632025955
195,"['F', 'C', 'C']",Stone Edge,80+,"Flip a coin. If heads, this attack does 60 more damage.",68af6bc3d14a007632025958
196,"['F', 'C', 'C']",Stone Edge,80+,"Flip a coin. If heads, this attack does 60 more damage.",68af6bc3d14a00763202595e
197,"['F', 'C', 'C']",Stone Edge,80+,"Flip a coin. If heads, this attack does 60 more damage.",68af6bc3d14a00763202595b
198,['C'],Flail,10x,This attack does 10 damage for each damage counter on this Pokémon.,68af6bc3d14a007632025967
199,"['C', 'C']",Dig Claws,20,,68af6bc3d14a007632025967
200,['C'],Flail,10x,This attack does 10 damage for each damage counter on this Pokémon.,68af6bc3d14a007632025964
201,"['C', 'C']",Dig Claws,20,,68af6bc3d14a007632025964
202,['C'],Flail,10x,This attack does 10 damage for each damage counter on this Pokémon.,68af6bc3d14a007632025961
203,"['C', 'C']",Dig Claws,20,,68af6bc3d14a007632025961
204,"['F', 'C']",Shoulder Throw,120-,This attack does 30 less damage for each Retreat Cost.,68af6bc3d14a00763202596d
205,"['F', 'C']",Shoulder Throw,120-,This attack does 30 less damage for each Retreat Cost.,68af6bc3d14a00763202596a
206,"['F', 'C']",Shoulder Throw,120-,This attack does 30 less damage for each Retreat Cost.,68af6bc3d14a007632025970
207,"['F', 'C', 'C', 'C']",Swing Around,100+,Flip 2 coins. This attack does 50 more damage for each heads.,68af6bc3d14a007632025973
208,"['F', 'C', 'C', 'C']",Swing Around,100+,Flip 2 coins. This attack does 50 more damage for each heads.,68af6bc3d14a007632025979
209,"['F', 'C', 'C', 'C']",Swing Around,100+,Flip 2 coins. This attack does 50 more damage for each heads.,68af6bc3d14a007632025976
210,['F'],Low Kick,30,,68af6bc3d14a00763202597c
211,"['F', 'C', 'C']",Hammer Arm,60,Discard the top card of your opponent's deck.,68af6bc3d14a00763202597c
212,['F'],Low Kick,30,,68af6bc3d14a007632025982
213,"['F', 'C', 'C']",Hammer Arm,60,Discard the top card of your opponent's deck.,68af6bc3d14a007632025982
214,['F'],Low Kick,30,,68af6bc3d14a00763202597f
215,"['F', 'C', 'C']",Hammer Arm,60,Discard the top card of your opponent's deck.,68af6bc3d14a00763202597f
216,['F'],Low Kick,10,,68af6bc3d14a007632025988
217,"['F', 'C', 'C']",Strength,50,,68af6bc3d14a007632025988
218,['F'],Low Kick,10,,68af6bc3d14a007632025985
219,"['F', 'C', 'C']",Strength,50,,68af6bc3d14a007632025985
220,['F'],Low Kick,10,,68af6bc4d14a00763202598b
221,"['F', 'C', 'C']",Strength,50,,68af6bc4d14a00763202598b
222,"['F', 'F']",Piercing Drill,60,This attack also does 60 damage to 1 of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.),68af6bc4d14a00763202598e
223,"['F', 'F', 'F']",Rock Tumble,200,This attack's damage isn't affected by Resistance.,68af6bc4d14a00763202598e
224,['F'],Mud-Slap,10,,68af6bc4d14a007632025997
225,"['F', 'F']",Corkscrew Punch,30,,68af6bc4d14a007632025997
226,['F'],Mud-Slap,10,,68af6bc4d14a007632025991
227,"['F', 'F']",Corkscrew Punch,30,,68af6bc4d14a007632025991
228,['F'],Mud-Slap,10,,68af6bc4d14a007632025994
229,"['F', 'F']",Corkscrew Punch,30,,68af6bc4d14a007632025994
230,['P'],Echoed Voice,30,"During your next turn, this Pokémon's Echoed Voice attack does 80 more damage (before applying Weakness and Resistance).",68af6bc4d14a00763202599a
231,"['C', 'C', 'C']",Double Smash,80x,Flip 2 coins. This attack does 80 damage for each heads.,68af6bc4d14a0076320259a3
232,"['P', 'P', 'C', 'C', 'C']",Golurk Hammer,200,,68af6bc4d14a0076320259a3
233,"['C', 'C', 'C']",Double Smash,80x,Flip 2 coins. This attack does 80 damage for each heads.,68af6bc4d14a0076320259a0
234,"['P', 'P', 'C', 'C', 'C']",Golurk Hammer,200,,68af6bc4d14a0076320259a0
235,"['C', 'C', 'C']",Double Smash,80x,Flip 2 coins. This attack does 80 damage for each heads.,68af6bc4d14a00763202599d
236,"['P', 'P', 'C', 'C', 'C']",Golurk Hammer,200,,68af6bc4d14a00763202599d
237,"['C', 'C']",Best Punch,60,"Flip a coin. If tails, this attack does nothing.",68af6bc4d14a0076320259ac
238,"['C', 'C']",Best Punch,60,"Flip a coin. If tails, this attack does nothing.",68af6bc4d14a0076320259a6
239,"['C', 'C']",Best Punch,60,"Flip a coin. If tails, this attack does nothing.",68af6bc4d14a0076320259a9
240,"['C', 'C', 'C']",Psychic,80+,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,68af6bc4d14a0076320259b2
241,"['C', 'C', 'C']",Psychic,80+,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,68af6bc4d14a0076320259b5
242,"['C', 'C', 'C']",Psychic,80+,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,68af6bc4d14a0076320259af
243,"['C', 'C', 'C']",Beam,40,,68af6bc4d14a0076320259be
244,"['C', 'C', 'C']",Beam,40,,68af6bc4d14a0076320259bb
245,"['C', 'C', 'C']",Beam,40,,68af6bc4d14a0076320259b8
246,['C'],Evo-Lariat,40+,This attack does 40 more damage for each of your Evolution Pokémon in play.,68af6bc4d14a0076320259c1
247,['C'],Evo-Lariat,40+,This attack does 40 more damage for each of your Evolution Pokémon in play.,68af6bc4d14a0076320259c4
248,['C'],Evo-Lariat,40+,This attack does 40 more damage for each of your Evolution Pokémon in play.,68af6bc4d14a0076320259c7
249,['C'],Spray Fluid,30,,68af6bc4d14a0076320259ca
250,['C'],Spray Fluid,30,,68af6bc4d14a0076320259cd
251,['C'],Spray Fluid,30,,68af6bc4d14a0076320259d0
252,['C'],Rollout,10,,68af6bc5d14a0076320259d3
253,['C'],Rollout,10,,68af6bc5d14a0076320259d6
254,['C'],Rollout,10,,68af6bc5d14a0076320259d9
255,['P'],Sleep Pulse,50,Your opponent's Active Pokémon is now Asleep.,68af6bc5d14a0076320259df
256,['P'],Sleep Pulse,50,Your opponent's Active Pokémon is now Asleep.,68af6bc5d14a0076320259e2
257,['P'],Sleep Pulse,50,Your opponent's Active Pokémon is now Asleep.,68af6bc5d14a0076320259dc
258,['P'],Mumble,10,,68af6bc5d14a0076320259eb
259,['P'],Mumble,10,,68af6bc5d14a0076320259e8
260,['P'],Mumble,10,,68af6bc5d14a0076320259e5
261,"['C', 'C']",Slash,50,,68af6bc5d14a0076320259ee
