,id,tcgPlayerId,setId,setName,name,cardNumber,totalSetNumber,rarity,cardType,hp,stage,retreatCost,artist,tcgPlayerUrl,imageUrl_smaller,imageUrl,needsDetailedScrape,dataCompleteness,lastScrapedAt,createdAt,updatedAt,weakness.type,weakness.value,resistance.type,resistance.value,prices.market,prices.listings,prices.primaryCondition,prices.conditions.Near Mint.price,prices.conditions.Near Mint.listings,prices.conditions.Near Mint.priceString,prices.conditions.Lightly Played.price,prices.conditions.Lightly Played.listings,prices.conditions.Lightly Played.priceString,prices.conditions.Moderately Played.price,prices.conditions.Moderately Played.listings,prices.conditions.Moderately Played.priceString,prices.variants.Holofoil.Near Mint.price,prices.variants.Holofoil.Near Mint.listings,prices.variants.Holofoil.Near Mint.priceString,prices.variants.Holofoil.Lightly Played.price,prices.variants.Holofoil.Lightly Played.listings,prices.variants.Holofoil.Lightly Played.priceString,prices.variants.Holofoil.Moderately Played.price,prices.variants.Holofoil.Moderately Played.listings,prices.variants.Holofoil.Moderately Played.priceString,prices.lastUpdated,prices.priceWasCorrected,prices.conditions.Damaged.price,prices.conditions.Damaged.listings,prices.conditions.Damaged.priceString,prices.variants.Holofoil.Damaged.price,prices.variants.Holofoil.Damaged.listings,prices.variants.Holofoil.Damaged.priceString,prices.conditions.Heavily Played.price,prices.conditions.Heavily Played.listings,prices.conditions.Heavily Played.priceString,prices.variants.Holofoil.Heavily Played.price,prices.variants.Holofoil.Heavily Played.listings,prices.variants.Holofoil.Heavily Played.priceString,prices.variants.Normal.Near Mint.price,prices.variants.Normal.Near Mint.listings,prices.variants.Normal.Near Mint.priceString,prices.variants.Normal.Lightly Played.price,prices.variants.Normal.Lightly Played.listings,prices.variants.Normal.Lightly Played.priceString,prices.variants.Normal.Damaged.price,prices.variants.Normal.Damaged.listings,prices.variants.Normal.Damaged.priceString,prices.variants.Normal.Moderately Played.price,prices.variants.Normal.Moderately Played.listings,prices.variants.Normal.Moderately Played.priceString,prices.variants.Reverse Holofoil.Near Mint.price,prices.variants.Reverse Holofoil.Near Mint.listings,prices.variants.Reverse Holofoil.Near Mint.priceString,prices.variants.Reverse Holofoil.Lightly Played.price,prices.variants.Reverse Holofoil.Lightly Played.listings,prices.variants.Reverse Holofoil.Lightly Played.priceString,prices.variants.Reverse Holofoil.Damaged.price,prices.variants.Reverse Holofoil.Damaged.listings,prices.variants.Reverse Holofoil.Damaged.priceString,prices.variants.Reverse Holofoil.Moderately Played.price,prices.variants.Reverse Holofoil.Moderately Played.listings,prices.variants.Reverse Holofoil.Moderately Played.priceString,prices.variants.Normal.Heavily Played.price,prices.variants.Normal.Heavily Played.listings,prices.variants.Normal.Heavily Played.priceString,prices.variants.Reverse Holofoil.Heavily Played.price,prices.variants.Reverse Holofoil.Heavily Played.listings,prices.variants.Reverse Holofoil.Heavily Played.priceString
10,68af6bbcd14a00763202575a,642615,68af37165bce97006df9f23c,SV: Black Bolt,Fennel - 162/086,162/086,086,Ultra Rare,Trainer - Supporter,,,,,https://www.tcgplayer.com/product/642615/pokemon-sv-black-bolt-fennel---162-086,https://tcgplayer-cdn.tcgplayer.com/product/642615_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642615_in_600x600.jpg,FALSE,100,2025-11-27T16:10:13.391Z,2025-08-27T20:34:04.077Z,2025-11-27T16:10:13.476Z,,,,,1,,Near Mint,1,368,$1.00,1.72,12,$1.72,,,,1,368,$1.00,1.72,12,$1.72,,,,2025-11-27T16:10:13.391Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,68af6bbcd14a00763202575d,642613,68af37165bce97006df9f23c,SV: Black Bolt,Genesect ex - 161/086,161/086,086,Ultra Rare,Metal,220,Basic,2,,https://www.tcgplayer.com/product/642613/pokemon-sv-black-bolt-genesect-ex---161-086,https://tcgplayer-cdn.tcgplayer.com/product/642613_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642613_in_600x600.jpg,FALSE,100,2025-11-27T16:06:43.168Z,2025-08-27T20:34:04.118Z,2025-11-27T16:06:43.251Z,Rx,2,G,,1.6,,Near Mint,1.6,2431,$1.60,2.21,86,$2.21,,,,1.6,2431,$1.60,2.21,86,$2.21,,,,2025-11-27T16:06:43.168Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,68af6bbcd14a007632025760,642612,68af37165bce97006df9f23c,SV: Black Bolt,Excadrill ex - 160/086,160/086,086,Ultra Rare,Fighting,270,Stage 1,3,,https://www.tcgplayer.com/product/642612/pokemon-sv-black-bolt-excadrill-ex---160-086,https://tcgplayer-cdn.tcgplayer.com/product/642612_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642612_in_600x600.jpg,FALSE,100,2025-11-27T16:12:56.032Z,2025-08-27T20:34:04.158Z,2025-11-27T16:12:56.115Z,Gx,2,,,0.67,,Near Mint,0.67,469,$0.67,1.05,36,$1.05,,,,0.67,469,$0.67,1.05,36,$1.05,,,,2025-11-27T16:12:56.032Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,68af6bbcd14a007632025763,642611,68af37165bce97006df9f23c,SV: Black Bolt,Meloetta ex - 159/086,159/086,086,Ultra Rare,Psychic,200,Basic,1,,https://www.tcgplayer.com/product/642611/pokemon-sv-black-bolt-meloetta-ex---159-086,https://tcgplayer-cdn.tcgplayer.com/product/642611_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642611_in_600x600.jpg,FALSE,100,2025-11-27T16:13:07.811Z,2025-08-27T20:34:04.197Z,2025-11-27T16:13:07.900Z,Dx,2,F,,1.33,,Near Mint,1.33,2065,$1.33,1.33,41,$1.33,1,1,$1.00,1.33,2065,$1.33,1.33,41,$1.33,1,1,$1.00,2025-11-27T16:13:07.811Z,FALSE,0.55,1,$0.55,0.55,1,$0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,68af6bbcd14a007632025766,642610,68af37165bce97006df9f23c,SV: Black Bolt,Zekrom ex - 158/086,158/086,086,Ultra Rare,Lightning,230,Basic,2,,https://www.tcgplayer.com/product/642610/pokemon-sv-black-bolt-zekrom-ex---158-086,https://tcgplayer-cdn.tcgplayer.com/product/642610_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642610_in_600x600.jpg,FALSE,100,2025-11-27T16:20:43.883Z,2025-08-27T20:34:04.236Z,2025-11-27T16:20:44.023Z,Fx,2,,,3.45,,Near Mint,3.45,2110,$3.45,4.73,71,$4.73,,,,3.45,2110,$3.45,4.73,71,$4.73,,,,2025-11-27T16:20:43.883Z,FALSE,1,1,$1.00,1,1,$1.00,2.65,1,$2.65,2.65,1,$2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,68af6bbcd14a007632025769,642609,68af37165bce97006df9f23c,SV: Black Bolt,Kyurem ex - 157/086,157/086,086,Ultra Rare,Water,230,Basic,2,,https://www.tcgplayer.com/product/642609/pokemon-sv-black-bolt-kyurem-ex---157-086,https://tcgplayer-cdn.tcgplayer.com/product/642609_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642609_in_600x600.jpg,FALSE,100,2025-11-27T16:13:32.490Z,2025-08-27T20:34:04.279Z,2025-11-27T16:13:32.623Z,Mx,2,,,1.28,,Near Mint,1.28,1862,$1.28,1.31,66,$1.31,2.24,3,$2.24,1.28,1862,$1.28,1.31,66,$1.31,2.24,3,$2.24,2025-11-27T16:13:32.490Z,FALSE,0.5,1,$0.50,0.5,1,$0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,68af6bbcd14a00763202576c,642608,68af37165bce97006df9f23c,SV: Black Bolt,Serperior ex - 156/086,156/086,086,Ultra Rare,Grass,320,Stage 2,2,,https://www.tcgplayer.com/product/642608/pokemon-sv-black-bolt-serperior-ex---156-086,https://tcgplayer-cdn.tcgplayer.com/product/642608_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642608_in_600x600.jpg,FALSE,100,2025-11-27T16:06:46.305Z,2025-08-27T20:34:04.319Z,2025-11-27T16:06:46.392Z,Rx,2,,,1.17,,Near Mint,1.17,411,$1.17,1.37,25,$1.37,0.97,1,$0.97,1.17,411,$1.17,1.37,25,$1.37,0.97,1,$0.97,2025-11-27T16:06:46.305Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,68af6bbcd14a00763202576f,642272,68af37165bce97006df9f23c,SV: Black Bolt,Braviary - 155/086,155/086,086,Illustration Rare,Colorless,140,Stage 1,1,,https://www.tcgplayer.com/product/642272/pokemon-sv-black-bolt-braviary---155-086,https://tcgplayer-cdn.tcgplayer.com/product/642272_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642272_in_600x600.jpg,FALSE,100,2025-11-27T16:20:49.326Z,2025-08-27T20:34:04.360Z,2025-11-27T16:20:49.414Z,Lx,2,F,,6.81,,Near Mint,6.81,630,$6.81,6.9,30,$6.90,,,,6.81,630,$6.81,6.9,30,$6.90,,,,2025-11-27T16:20:49.326Z,FALSE,5.99,1,$5.99,5.99,1,$5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,68af6bbcd14a007632025772,642271,68af37165bce97006df9f23c,SV: Black Bolt,Rufflet - 154/086,154/086,086,Illustration Rare,Colorless,70,Basic,1,,https://www.tcgplayer.com/product/642271/pokemon-sv-black-bolt-rufflet---154-086,https://tcgplayer-cdn.tcgplayer.com/product/642271_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642271_in_600x600.jpg,FALSE,100,2025-11-27T16:06:51.296Z,2025-08-27T20:34:04.404Z,2025-11-27T16:06:51.380Z,Lx,2,F,,5.05,,Near Mint,5.05,91,$5.05,5.43,6,$5.43,,,,5.05,91,$5.05,5.43,6,$5.43,,,,2025-11-27T16:06:51.296Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,68af6bbcd14a007632025775,642607,68af37165bce97006df9f23c,SV: Black Bolt,Cinccino - 153/086,153/086,086,Illustration Rare,Colorless,100,Stage 1,1,,https://www.tcgplayer.com/product/642607/pokemon-sv-black-bolt-cinccino---153-086,https://tcgplayer-cdn.tcgplayer.com/product/642607_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642607_in_600x600.jpg,FALSE,100,2025-11-27T16:13:37.353Z,2025-08-27T20:34:04.443Z,2025-11-27T16:13:37.444Z,Fx,2,,,9.25,,Near Mint,9.25,539,$9.25,8.86,53,$8.86,,,,9.25,539,$9.25,8.86,53,$8.86,,,,2025-11-27T16:13:37.353Z,FALSE,6.99,1,$6.99,6.99,1,$6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,68af6bbcd14a007632025778,642606,68af37165bce97006df9f23c,SV: Black Bolt,Minccino - 152/086,152/086,086,Illustration Rare,Colorless,60,Basic,1,,https://www.tcgplayer.com/product/642606/pokemon-sv-black-bolt-minccino---152-086,https://tcgplayer-cdn.tcgplayer.com/product/642606_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642606_in_600x600.jpg,FALSE,100,2025-11-27T16:06:55.611Z,2025-08-27T20:34:04.485Z,2025-11-27T16:06:55.699Z,Fx,2,,,11.39,,Near Mint,11.39,529,$11.39,10.56,48,$10.56,,,,11.39,529,$11.39,10.56,48,$10.56,,,,2025-11-27T16:06:55.611Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,68af6bbcd14a00763202577b,642605,68af37165bce97006df9f23c,SV: Black Bolt,Audino - 151/086,151/086,086,Illustration Rare,Colorless,100,Basic,1,,https://www.tcgplayer.com/product/642605/pokemon-sv-black-bolt-audino---151-086,https://tcgplayer-cdn.tcgplayer.com/product/642605_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642605_in_600x600.jpg,FALSE,100,2025-11-27T16:10:20.226Z,2025-08-27T20:34:04.526Z,2025-11-27T16:10:20.309Z,Fx,2,,,14.17,,Near Mint,14.17,103,$14.17,12.93,8,$12.93,,,,14.17,103,$14.17,12.93,8,$12.93,,,,2025-11-27T16:10:20.226Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,68af6bbcd14a00763202577e,642604,68af37165bce97006df9f23c,SV: Black Bolt,Unfezant - 150/086,150/086,086,Illustration Rare,Colorless,150,Stage 2,,,https://www.tcgplayer.com/product/642604/pokemon-sv-black-bolt-unfezant---150-086,https://tcgplayer-cdn.tcgplayer.com/product/642604_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642604_in_600x600.jpg,FALSE,100,2025-11-27T16:10:23.639Z,2025-08-27T20:34:04.568Z,2025-11-27T16:10:23.725Z,Lx,2,F,,12.58,,Near Mint,12.58,66,$12.58,11.32,2,$11.32,,,,12.58,66,$12.58,11.32,2,$11.32,,,,2025-11-27T16:10:23.639Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,68af6bbcd14a007632025781,642603,68af37165bce97006df9f23c,SV: Black Bolt,Tranquill - 149/086,149/086,086,Illustration Rare,Colorless,80,Stage 1,,,https://www.tcgplayer.com/product/642603/pokemon-sv-black-bolt-tranquill---149-086,https://tcgplayer-cdn.tcgplayer.com/product/642603_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642603_in_600x600.jpg,FALSE,100,2025-11-27T16:10:26.839Z,2025-08-27T20:34:04.608Z,2025-11-27T16:10:26.924Z,Lx,2,F,,4.63,,Near Mint,4.63,83,$4.63,5.08,7,$5.08,,,,4.63,83,$4.63,5.08,7,$5.08,,,,2025-11-27T16:10:26.839Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,68af6bbcd14a007632025784,642602,68af37165bce97006df9f23c,SV: Black Bolt,Pidove - 148/086,148/086,086,Illustration Rare,Colorless,60,Stage 1,2,,https://www.tcgplayer.com/product/642602/pokemon-sv-black-bolt-pidove---148-086,https://tcgplayer-cdn.tcgplayer.com/product/642602_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642602_in_600x600.jpg,FALSE,100,2025-11-27T16:13:40.288Z,2025-08-27T20:34:04.652Z,2025-11-27T16:13:40.377Z,Rx,2,G,,13.07,,Near Mint,13.07,588,$13.07,12.08,31,$12.08,,,,13.07,588,$13.07,12.08,31,$12.08,,,,2025-11-27T16:13:40.288Z,FALSE,,,,,,,12.56,1,$12.56,12.56,1,$12.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,68af6bbcd14a007632025787,642601,68af37165bce97006df9f23c,SV: Black Bolt,Haxorus - 147/086,147/086,086,Illustration Rare,Dragon,170,Basic,1,,https://www.tcgplayer.com/product/642601/pokemon-sv-black-bolt-haxorus---147-086,https://tcgplayer-cdn.tcgplayer.com/product/642601_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642601_in_600x600.jpg,FALSE,100,2025-11-27T16:10:33.397Z,2025-08-27T20:34:04.701Z,2025-11-27T16:10:33.486Z,Lx,2,F,,44.15,,Near Mint,44.15,316,$44.15,40.71,19,$40.71,38.22,2,$38.22,44.15,316,$44.15,40.71,19,$40.71,38.22,2,$38.22,2025-11-27T16:10:33.397Z,FALSE,21.55,1,$21.55,21.55,1,$21.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,68af6bbcd14a00763202578a,642600,68af37165bce97006df9f23c,SV: Black Bolt,Fraxure - 146/086,146/086,086,Illustration Rare,Dragon,100,Stage 2,,,https://www.tcgplayer.com/product/642600/pokemon-sv-black-bolt-fraxure---146-086,https://tcgplayer-cdn.tcgplayer.com/product/642600_in_200x200.jpg,https://tcgplayer-cdn.tcgplayer.com/product/642600_in_600x600.jpg,FALSE,100,2025-11-27T16:14:06.534Z,2025-08-27T20:34:04.740Z,2025-11-27T16:14:06.630Z,,,,,18.84,,Near Mint,18.84,38,$18.84,18.01,5,$18.01,,,,18.84,38,$18.84,18.01,5,$18.01,,,,2025-11-27T16:14:06.534Z,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
